ID,Data da Compra,Nome Cliente,Idade,Gênero,Cidade Cliente,Estado Cliente,Carro Vendido,Marca,Ano do Carro,Valor do Carro,Cor,Automático,Portas,Empréstimo,Tipo Cliente,Nome Loja
22,2023-06-02,Patrick Butler,32,Feminino,Santos,SP,HR-V,Honda,2022,118958.07,Azul,Sim,4,Não,PJ,Fácil Carro
23,2019-03-04,Zachary Williams,65,Masculino,Caxias do Sul,RS,Virtus,Volkswagen,2018,122201.82,Azul,Sim,2,Não,PJ,Meu Carro Novo
24,2019-03-05,Tyler Smith,62,Masculino,Santa Maria,RS,Focus,Ford,2018,91301.26,Verde,Sim,2,Sim,PF,Fácil Carro
25,2020-06-25,Whitney Holmes,40,Feminino,Vila Velha,ES,Hilux,Toyota,2015,137613.4,Preto,Não,2,Não,PF,AutoCenter
26,2022-06-30,Nathan Chavez,33,Masculino,Salvador,BA,Ranger,Ford,2016,174781.43,Branco,Não,4,Sim,PF,Meu Carro Novo
27,2024-06-28,John Daugherty,21,Masculino,Duque de Caxias,RJ,Polo,Volkswagen,2022,48561.34,Vermelho,Não,2,Sim,PF,Carro Ideal
28,2021-03-23,Mark Arnold,37,Feminino,Ponta Grossa,PR,HR-V,Honda,2017,207543.41,Bege,Não,2,Sim,PF,Fácil Carro
29,2020-06-25,Molly Holmes,30,Feminino,Belo Horizonte,MG,Fit,Honda,2019,31557.64,Vermelho,Não,2,Não,PF,Viva Carros
30,2024-07-26,Darrell Brown,25,Feminino,Ponta Grossa,PR,Ka,Ford,2019,52271.94,Verde,Não,2,Não,PF,Super Carros
31,2022-12-29,Jacob Bell,54,Feminino,Belo Horizonte,MG,Onix,Chevrolet,2021,57496.39,Bege,Sim,4,Não,PJ,AutoCenter
32,2024-10-27,Paul Carroll,22,Masculino,Rio de Janeiro,RJ,Ranger,Ford,2015,335827.34,Branco,Sim,4,Não,PJ,Carros do Brasil
33,2022-10-17,Gabrielle Ellis,45,Feminino,Petrolina,PE,Ranger,Ford,2018,203998.31,Preto,Sim,2,Não,PJ,Viva Carros
34,2019-03-05,Alexandra Taylor,35,Feminino,Ilhéus,BA,HR-V,Honda,2016,100354.19,Amarelo,Sim,2,Sim,PJ,Carros & Cia
35,2024-04-19,Natalie Rubio,38,Feminino,Vitória,ES,Ka,Ford,2024,52795.89,Vermelho,Não,4,Sim,PF,AutoCenter
36,2020-07-05,Michele Jimenez,61,Masculino,Joinville,SC,Yaris,Toyota,2016,109724.45,Vermelho,Sim,2,Sim,PF,Brasil Carros
37,2019-03-20,Linda Meza MD,30,Masculino,Santa Maria,RS,HB20,Hyundai,2019,47422.82,Vermelho,Sim,2,Não,PJ,Carros & Cia
38,2019-10-04,Nancy Bell,29,Masculino,Anápolis,GO,Ranger,Ford,2015,107021.29,Cinza,Sim,4,Não,PJ,Meu Carro Novo
39,2022-11-23,Timothy Evans,44,Feminino,Criciúma,SC,Ranger,Ford,2015,126025.3,Verde,Sim,4,Sim,PJ,Fácil Carro
40,2022-05-12,Karen Phillips,44,Masculino,Luziânia,GO,T-Cross,Volkswagen,2019,134924.38,Amarelo,Sim,4,Não,PF,Super Carros
41,2019-11-02,Vincent Armstrong,18,Feminino,Santos,SP,Civic,Honda,2018,98711.49,Azul,Não,4,Sim,PF,Super Carros
42,2022-02-17,Mrs. Ann Hudson MD,31,Feminino,Aparecida de Goiânia,GO,Virtus,Volkswagen,2018,109848.28,Preto,Sim,4,Não,PF,Super Carros
43,2022-07-25,Brandon Richmond,46,Masculino,Cabo Frio,RJ,Corolla,Toyota,2018,157874.35,Prata,Não,4,Sim,PF,Super Carros
44,2022-12-22,James Smith,46,Feminino,Serra,ES,Virtus,Volkswagen,2022,179659.25,Azul,Sim,2,Não,PF,Brasil Carros
45,2021-08-31,Robert Wright,36,Masculino,Luziânia,GO,Corolla,Toyota,2016,126987.87,Azul,Sim,2,Não,PJ,Viva Carros
46,2023-05-15,Gregory Newton,41,Feminino,Santos,SP,Cobalt,Chevrolet,2015,236587.45,Prata,Não,4,Não,PJ,Brasil Carros
47,2022-03-24,Thomas Garza,47,Feminino,Cachoeiro de Itapemirim,ES,Fit,Honda,2022,38669.51,Preto,Sim,2,Não,PF,Carro Ideal
48,2023-06-27,Patricia Morgan,31,Feminino,Aparecida de Goiânia,GO,Corolla,Toyota,2021,146436.09,Cinza,Sim,4,Não,PF,Meu Carro Novo
49,2020-07-24,Brett Mata,33,Feminino,Ilhéus,BA,HR-V,Honda,2015,100723.97,Vermelho,Não,4,Sim,PF,Carros do Brasil
50,2021-02-10,Paul Wilson,45,Feminino,Contagem,MG,HR-V,Honda,2021,118404.18,Verde,Sim,2,Não,PJ,Meu Carro Novo
51,2019-04-22,Paul Anderson,55,Masculino,Criciúma,SC,Hilux,Toyota,2018,144828.49,Branco,Sim,2,Não,PJ,Super Carros
52,2022-03-21,Joseph Weber,66,Feminino,Caruaru,PE,Gol,Volkswagen,2019,66996.06,Branco,Não,2,Sim,PF,Viva Carros
53,2021-12-06,Paul Shields,25,Feminino,Lages,SC,Focus,Ford,2021,286135.09,Vermelho,Sim,2,Sim,PF,Carros & Cia
54,2019-09-16,Cindy Dennis,33,Feminino,Pelotas,RS,Virtus,Volkswagen,2019,127679.32,Cinza,Não,2,Não,PF,AutoCenter
55,2022-02-03,Jonathan Keith,51,Feminino,Luziânia,GO,Fit,Honda,2015,73687.02,Branco,Sim,4,Não,PF,Fácil Carro
56,2020-10-04,Randall Wiley,30,Masculino,Lages,SC,Civic,Honda,2015,150236.55,Branco,Não,4,Não,PJ,Fácil Carro
57,2023-02-26,Melanie Rodriguez,55,Feminino,Santa Maria,RS,HR-V,Honda,2015,179690.21,Azul,Não,4,Sim,PF,Carros do Brasil
58,2020-01-06,Gregg White,28,Masculino,Foz do Iguaçu,PR,Ranger,Ford,2016,149941.43,Vermelho,Não,4,Não,PJ,Meu Carro Novo
59,2024-12-16,Eugene Johnson,63,Feminino,Cachoeiro de Itapemirim,ES,Focus,Ford,2018,711772.79,Preto,Não,2,Não,PJ,Carro Ideal
60,2020-01-02,Misty Harrison,66,Feminino,Feira de Santana,BA,HR-V,Honda,2020,106692.37,Bege,Não,2,Sim,PJ,Carro Ideal
61,2023-03-05,Anne Oliver,33,Feminino,Volta Redonda,RJ,Yaris,Toyota,2015,199361.21,Amarelo,Não,4,Não,PJ,Fácil Carro
62,2021-09-06,Christopher King Jr.,51,Feminino,Volta Redonda,RJ,Fit,Honda,2021,45448.0,Azul,Sim,4,Sim,PF,Brasil Carros
63,2021-08-29,Joyce Phelps,31,Feminino,Feira de Santana,BA,Onix,Chevrolet,2021,77792.44,Prata,Não,2,Não,PF,Carros do Brasil
64,2019-11-08,Christopher Davis,48,Masculino,Porto Alegre,RS,Gol,Volkswagen,2016,35512.0,Vermelho,Sim,2,Não,PJ,Meu Carro Novo
65,2020-11-04,Benjamin Murphy,29,Masculino,Jaboatão dos Guararapes,PE,Focus,Ford,2018,78728.31,Vermelho,Sim,4,Não,PF,Brasil Carros
66,2020-05-02,David Foley,69,Feminino,Pelotas,RS,S10,Chevrolet,2016,181828.86,Prata,Não,2,Não,PJ,AutoCenter
67,2020-04-15,Benjamin Ortiz,29,Feminino,Caxias do Sul,RS,S10,Chevrolet,2015,258546.23,Vermelho,Sim,2,Não,PF,Top Car Veículos
68,2022-03-30,Joshua Mcguire,29,Feminino,Maringá,PR,Ranger,Ford,2019,270027.79,Branco,Não,2,Não,PJ,AutoCenter
69,2021-11-19,Christian Fisher,35,Masculino,Salvador,BA,Civic,Honda,2019,89263.08,Vermelho,Sim,4,Não,PJ,Meu Carro Novo
70,2019-08-31,Adam Keller,30,Masculino,Juiz de Fora,MG,Gol,Volkswagen,2017,45630.77,Bege,Não,2,Sim,PJ,Viva Carros
71,2023-12-10,Jennifer Waters,42,Feminino,Rio de Janeiro,RJ,Creta,Hyundai,2022,124723.31,Amarelo,Não,4,Não,PF,Viva Carros
72,2021-03-31,Mr. John Rogers MD,27,Masculino,Foz do Iguaçu,PR,Fit,Honda,2015,34863.37,Azul,Não,4,Sim,PJ,Viva Carros
73,2023-08-06,Melanie Harvey,47,Feminino,Luziânia,GO,Yaris,Toyota,2022,95046.1,Cinza,Sim,2,Não,PF,Carros & Cia
74,2019-09-30,Daisy Gibson,24,Masculino,Vitória,ES,Creta,Hyundai,2016,153361.2,Prata,Sim,2,Sim,PF,Fácil Carro
75,2019-08-10,Sarah Taylor,31,Masculino,Cachoeiro de Itapemirim,ES,Gol,Volkswagen,2018,54646.04,Verde,Sim,4,Sim,PJ,Carros do Brasil
76,2019-11-12,Jessica Fisher,58,Masculino,Duque de Caxias,RJ,Corolla,Toyota,2018,78365.54,Azul,Não,4,Não,PF,Brasil Carros
77,2019-11-30,Nancy Espinoza,43,Masculino,Vitória da Conquista,BA,Onix,Chevrolet,2017,58619.64,Prata,Não,2,Não,PJ,Super Carros
78,2024-10-15,Ana Hill,26,Masculino,Serra,ES,Fit,Honda,2020,100980.9,Bege,Não,4,Não,PF,Meu Carro Novo
79,2024-05-02,Mr. Daniel Perry,64,Masculino,Duque de Caxias,RJ,Ka,Ford,2020,63317.52,Prata,Não,4,Não,PF,Carro Ideal
80,2024-06-30,Joshua Bailey,54,Masculino,Blumenau,SC,HR-V,Honda,2019,177329.33,Cinza,Não,2,Sim,PF,Super Carros
81,2019-09-16,Rebecca Davis,36,Masculino,Foz do Iguaçu,PR,Gol,Volkswagen,2016,44042.2,Vermelho,Sim,2,Sim,PJ,Fácil Carro
82,2020-12-26,Dean Brooks,21,Feminino,Ponta Grossa,PR,Ka,Ford,2018,44215.73,Prata,Sim,2,Não,PJ,Carro Ideal
83,2019-07-21,Patricia Gill,30,Feminino,Guarapari,ES,Civic,Honda,2019,85928.26,Branco,Sim,4,Não,PF,Top Car Veículos
84,2020-01-04,Kathleen Lozano,42,Feminino,Goiânia,GO,T-Cross,Volkswagen,2020,169378.55,Verde,Sim,4,Não,PF,Carro Ideal
85,2021-03-10,Christopher Carson,58,Masculino,Criciúma,SC,Ranger,Ford,2017,246205.66,Prata,Sim,4,Não,PJ,Meu Carro Novo
86,2021-10-12,Michael Bowman,27,Feminino,Porto Alegre,RS,Virtus,Volkswagen,2015,149555.94,Preto,Sim,2,Sim,PJ,Top Car Veículos
87,2019-07-07,Blake Wallace,30,Masculino,Luziânia,GO,i30,Hyundai,2019,122184.28,Cinza,Não,4,Não,PF,Fácil Carro
88,2022-11-26,Travis Henderson,68,Masculino,Foz do Iguaçu,PR,Ka,Ford,2018,58860.24,Verde,Sim,2,Sim,PF,Top Car Veículos
89,2020-12-10,John Miller,20,Feminino,Niterói,RJ,Onix,Chevrolet,2016,62824.32,Azul,Não,2,Não,PF,Brasil Carros
90,2021-06-08,Maurice Sherman,47,Feminino,Salvador,BA,Focus,Ford,2017,404307.33,Verde,Sim,2,Sim,PJ,Carro Ideal
91,2022-04-12,Jordan Frost,61,Feminino,Passo Fundo,RS,Civic,Honda,2021,138562.43,Azul,Não,4,Sim,PF,Brasil Carros
92,2022-01-06,Juan Crawford,30,Feminino,Porto Alegre,RS,Ranger,Ford,2020,156225.34,Azul,Sim,4,Sim,PF,Meu Carro Novo
93,2024-07-27,Amanda Simmons,35,Feminino,Itabuna,BA,Civic,Honda,2024,120190.17,Cinza,Sim,2,Não,PF,Fácil Carro
94,2020-04-07,Jessica Ewing,45,Masculino,Niterói,RJ,Ka,Ford,2018,46387.27,Preto,Sim,4,Sim,PF,Meu Carro Novo
95,2021-10-23,Julie Neal,35,Masculino,Betim,MG,Polo,Volkswagen,2017,72421.73,Azul,Sim,4,Não,PF,Viva Carros
96,2020-09-07,Stephanie Payne,31,Feminino,Uberlândia,MG,i30,Hyundai,2017,139830.97,Cinza,Sim,2,Sim,PF,Super Carros
97,2024-03-26,William Rogers,34,Masculino,Blumenau,SC,Corolla,Toyota,2017,160765.96,Bege,Não,2,Sim,PJ,Carros & Cia
98,2019-05-17,Thomas Griffin,31,Masculino,Porto Alegre,RS,Tracker,Chevrolet,2016,190637.09,Cinza,Não,2,Não,PJ,Super Carros
99,2022-11-14,Grace Thompson,64,Feminino,Sorocaba,SP,HB20,Hyundai,2019,67205.42,Branco,Sim,2,Não,PF,AutoCenter
100,2024-07-04,Todd Newton,33,Feminino,São Bernardo do Campo,SP,i30,Hyundai,2015,82972.86,Preto,Sim,2,Não,PF,Carro Ideal
101,2023-01-22,Mary Henderson,37,Feminino,Niterói,RJ,HR-V,Honda,2018,165164.01,Bege,Sim,2,Não,PF,Top Car Veículos
102,2020-06-07,John Gomez,27,Feminino,Recife,PE,Polo,Volkswagen,2018,54987.14,Vermelho,Sim,4,Não,PF,Super Carros
103,2019-07-24,Jacob Casey,55,Feminino,Rio de Janeiro,RJ,HR-V,Honda,2016,186280.62,Prata,Não,2,Não,PF,Meu Carro Novo
104,2019-07-18,Kendra Garcia,30,Masculino,Serra,ES,Focus,Ford,2016,115391.86,Preto,Sim,2,Sim,PJ,Carros & Cia
105,2021-03-20,Stephen Woodward,24,Masculino,Duque de Caxias,RJ,Tracker,Chevrolet,2020,134201.65,Cinza,Não,2,Não,PF,Carros & Cia
106,2024-07-26,Lisa Carson,58,Masculino,Vitória da Conquista,BA,Ranger,Ford,2022,294360.18,Cinza,Sim,2,Não,PF,Top Car Veículos
107,2021-05-24,Kaitlin Santos,27,Masculino,Foz do Iguaçu,PR,Gol,Volkswagen,2020,59107.06,Branco,Não,4,Não,PF,Meu Carro Novo
108,2023-04-27,Christopher Ramos,29,Feminino,Uberlândia,MG,Ranger,Ford,2015,270606.3,Verde,Sim,4,Não,PJ,Brasil Carros
109,2021-06-02,Paul Williams,45,Feminino,Santa Maria,RS,i30,Hyundai,2021,201600.22,Azul,Não,4,Não,PJ,Fácil Carro
110,2022-04-16,Ashley Hughes,47,Masculino,Santos,SP,Yaris,Toyota,2021,184271.92,Verde,Não,2,Sim,PJ,Meu Carro Novo
111,2024-03-28,Michael Ramirez,27,Masculino,Itabuna,BA,Corolla,Toyota,2016,203773.16,Cinza,Sim,2,Sim,PF,Carros do Brasil
112,2024-10-26,Susan Smith,65,Masculino,Vitória,ES,HB20,Hyundai,2021,97162.28,Amarelo,Sim,4,Não,PJ,Carro Ideal
113,2021-05-16,Kenneth Gregory,70,Masculino,Cachoeiro de Itapemirim,ES,Hilux,Toyota,2016,157355.26,Verde,Sim,2,Não,PJ,Super Carros
114,2019-09-29,Bobby Lopez,28,Masculino,Guarapari,ES,Yaris,Toyota,2019,92007.29,Amarelo,Sim,2,Sim,PF,Fácil Carro
115,2020-03-16,Lynn Mccoy,45,Masculino,Itabuna,BA,Ranger,Ford,2020,201853.47,Verde,Sim,2,Não,PF,Brasil Carros
116,2021-07-05,Jason Burke,70,Feminino,Campinas,SP,Gol,Volkswagen,2020,44646.26,Branco,Sim,2,Sim,PJ,Super Carros
117,2022-08-05,Troy Gordon,38,Feminino,Rio Verde,GO,Corolla,Toyota,2017,145361.32,Branco,Não,4,Não,PF,Super Carros
118,2020-06-25,Christopher Peterson,52,Masculino,Itabuna,BA,T-Cross,Volkswagen,2019,118564.59,Verde,Não,2,Não,PF,Fácil Carro
119,2019-12-05,Tammy Smith,62,Feminino,Sorocaba,SP,Gol,Volkswagen,2018,48591.41,Amarelo,Sim,4,Sim,PJ,Carro Ideal
120,2021-08-30,Theresa Taylor,38,Feminino,Rio de Janeiro,RJ,i30,Hyundai,2016,280080.03,Bege,Sim,4,Sim,PF,Super Carros
121,2020-01-31,Andrew Clark,57,Feminino,Juiz de Fora,MG,Focus,Ford,2018,70030.8,Vermelho,Sim,2,Não,PF,Carros & Cia
122,2024-03-02,Douglas Bray,42,Masculino,Anápolis,GO,Tracker,Chevrolet,2020,158447.55,Azul,Sim,2,Não,PJ,Meu Carro Novo
123,2020-05-16,John Stanton,33,Masculino,Vitória da Conquista,BA,Creta,Hyundai,2015,177242.81,Bege,Sim,4,Não,PF,Super Carros
124,2024-08-12,Eric Jenkins,46,Masculino,Ilhéus,BA,i30,Hyundai,2021,530843.23,Prata,Não,2,Sim,PJ,Carros & Cia
125,2021-10-30,Christine Smith,33,Masculino,Salvador,BA,Fit,Honda,2018,65967.48,Branco,Sim,2,Não,PF,Viva Carros
126,2021-05-27,William Ochoa,26,Feminino,Londrina,PR,Hilux,Toyota,2016,139504.24,Preto,Não,4,Não,PF,Carros & Cia
127,2022-03-27,Robert Barry,39,Masculino,Duque de Caxias,RJ,T-Cross,Volkswagen,2016,211979.16,Azul,Não,2,Não,PJ,AutoCenter
128,2021-06-15,Shawn Flores,59,Masculino,Itabuna,BA,S10,Chevrolet,2019,137456.16,Azul,Não,4,Sim,PJ,AutoCenter
129,2022-11-10,Lisa Ferguson,52,Feminino,Rio de Janeiro,RJ,i30,Hyundai,2015,195514.8,Branco,Sim,4,Não,PF,Viva Carros
130,2019-08-04,Gregory Newman,36,Feminino,Santa Maria,RS,Gol,Volkswagen,2017,48421.32,Azul,Sim,4,Não,PF,Meu Carro Novo
131,2024-06-22,Eric Mueller,59,Masculino,Porto Alegre,RS,Focus,Ford,2023,114606.61,Preto,Não,2,Não,PF,Carros & Cia
132,2024-08-13,Kelly Kelly,32,Feminino,Rio de Janeiro,RJ,T-Cross,Volkswagen,2020,222911.74,Bege,Sim,2,Não,PF,Carros & Cia
133,2023-09-07,John Smith,29,Feminino,Serra,ES,Gol,Volkswagen,2022,94174.75,Preto,Sim,2,Não,PF,Meu Carro Novo
134,2023-11-14,Meghan Clark,70,Masculino,São Bernardo do Campo,SP,Cobalt,Chevrolet,2023,243762.04,Prata,Sim,2,Sim,PJ,Meu Carro Novo
135,2023-08-09,James Thompson,44,Feminino,Salvador,BA,Creta,Hyundai,2022,207139.01,Cinza,Sim,2,Sim,PJ,Carros do Brasil
136,2021-11-29,Katherine Taylor,54,Masculino,Belo Horizonte,MG,HB20,Hyundai,2015,73156.94,Prata,Não,2,Não,PF,Fácil Carro
137,2022-04-07,Mr. James Quinn,18,Masculino,Londrina,PR,Hilux,Toyota,2021,185533.07,Verde,Sim,2,Sim,PJ,AutoCenter
138,2020-02-24,Aaron Sanders,46,Masculino,Betim,MG,Hilux,Toyota,2020,237683.78,Bege,Não,2,Não,PF,Carros & Cia
139,2024-12-30,David Dawson,52,Masculino,São Paulo,SP,Fit,Honda,2020,97912.3,Amarelo,Não,4,Sim,PJ,Carros & Cia
140,2020-02-05,Shelby Wu,40,Feminino,Itabuna,BA,T-Cross,Volkswagen,2017,106968.78,Branco,Sim,2,Sim,PJ,Carros & Cia
141,2023-05-31,Kaitlyn Mitchell,45,Feminino,Jaboatão dos Guararapes,PE,Fit,Honda,2022,94453.89,Verde,Não,4,Sim,PF,Viva Carros
142,2020-04-20,Kendra Anderson,37,Feminino,Serra,ES,Focus,Ford,2017,55444.49,Prata,Não,2,Não,PJ,Carro Ideal
143,2023-07-01,Samuel Mays,37,Feminino,Belo Horizonte,MG,Yaris,Toyota,2017,183308.78,Verde,Sim,2,Sim,PF,Viva Carros
144,2019-11-18,Kathleen Flowers,61,Feminino,Feira de Santana,BA,Corolla,Toyota,2019,103308.46,Amarelo,Não,2,Não,PJ,Top Car Veículos
145,2020-04-11,Sharon Mitchell,58,Masculino,Maringá,PR,Creta,Hyundai,2016,110973.31,Bege,Não,4,Não,PJ,Carros & Cia
146,2024-11-30,Mario Garcia,33,Masculino,Aparecida de Goiânia,GO,Ranger,Ford,2016,264297.39,Prata,Não,2,Sim,PJ,Fácil Carro
147,2023-04-21,Anna Douglas,21,Masculino,Maringá,PR,Cobalt,Chevrolet,2018,145345.42,Cinza,Não,4,Não,PF,Viva Carros
148,2020-01-07,Cheryl Khan,27,Feminino,Passo Fundo,RS,Corolla,Toyota,2016,135637.21,Branco,Sim,2,Não,PJ,Carro Ideal
149,2019-08-11,Scott Martin,54,Feminino,Rio Verde,GO,HR-V,Honda,2015,81159.95,Bege,Não,2,Não,PF,AutoCenter
150,2023-07-27,Lisa Mccarthy,25,Masculino,São Paulo,SP,HB20,Hyundai,2016,88357.93,Preto,Não,2,Sim,PF,Meu Carro Novo
151,2023-04-05,George Moran,62,Feminino,Rio Verde,GO,Onix,Chevrolet,2023,46064.14,Vermelho,Sim,2,Sim,PJ,Viva Carros
152,2024-01-07,Gary Anderson,35,Masculino,Santos,SP,Ka,Ford,2020,92753.12,Amarelo,Sim,4,Não,PF,Brasil Carros
153,2021-04-19,Amber Hall,67,Feminino,Anápolis,GO,Ranger,Ford,2015,244891.13,Vermelho,Sim,4,Não,PJ,Top Car Veículos
154,2020-09-29,Michael Jackson,18,Masculino,Vila Velha,ES,S10,Chevrolet,2018,147398.29,Preto,Sim,2,Não,PJ,Top Car Veículos
155,2020-02-15,Kimberly Reyes,62,Feminino,São Paulo,SP,Ranger,Ford,2016,151585.73,Preto,Não,2,Sim,PJ,Carros & Cia
156,2024-05-24,Jacqueline Wolf,69,Feminino,Feira de Santana,BA,Ka,Ford,2016,73541.31,Vermelho,Sim,4,Não,PF,Fácil Carro
157,2020-02-02,Michael Calderon,35,Masculino,Caxias do Sul,RS,Hilux,Toyota,2019,102616.86,Bege,Sim,4,Sim,PJ,Fácil Carro
158,2024-08-06,Julie Johnson,58,Masculino,Curitiba,PR,Gol,Volkswagen,2018,77988.06,Amarelo,Sim,2,Não,PJ,Fácil Carro
159,2020-09-18,Nancy Davis,34,Feminino,Petrolina,PE,Ka,Ford,2018,57988.39,Verde,Sim,4,Não,PJ,Carro Ideal
160,2024-08-19,Bonnie West,41,Feminino,Cachoeiro de Itapemirim,ES,Ka,Ford,2019,58071.26,Preto,Sim,2,Sim,PJ,Fácil Carro
161,2019-08-31,Tim Mason,36,Feminino,Blumenau,SC,S10,Chevrolet,2017,228360.88,Cinza,Não,2,Não,PF,Brasil Carros
162,2022-03-31,Steven Riley,24,Masculino,Ponta Grossa,PR,Yaris,Toyota,2015,136688.83,Amarelo,Não,4,Não,PJ,Meu Carro Novo
163,2024-10-25,Anthony Spears,60,Feminino,Cabo Frio,RJ,Corolla,Toyota,2024,118706.01,Bege,Sim,4,Não,PF,Carros do Brasil
164,2022-11-03,Jennifer Vaughn,49,Masculino,Criciúma,SC,Ka,Ford,2019,76713.14,Branco,Sim,2,Sim,PF,AutoCenter
165,2023-01-24,Lauren Austin,48,Feminino,Petrolina,PE,i30,Hyundai,2015,254771.27,Bege,Sim,4,Não,PF,Meu Carro Novo
166,2022-02-02,Mark Noble,41,Feminino,Cabo Frio,RJ,Yaris,Toyota,2022,158451.81,Prata,Sim,2,Não,PF,Viva Carros
167,2023-10-09,Hannah Wilson,63,Masculino,Petrolina,PE,Creta,Hyundai,2020,119616.32,Prata,Sim,4,Sim,PJ,Carro Ideal
168,2020-12-18,Dorothy Butler,54,Feminino,Vila Velha,ES,Ka,Ford,2020,70335.72,Branco,Não,4,Não,PF,Fácil Carro
169,2023-12-21,Rita Hendricks,42,Masculino,Cabo Frio,RJ,HB20,Hyundai,2023,43746.19,Cinza,Não,4,Não,PJ,AutoCenter
170,2022-01-16,Carrie Meyers,60,Masculino,Volta Redonda,RJ,Focus,Ford,2016,287259.27,Azul,Sim,2,Não,PJ,Fácil Carro
171,2023-04-11,Travis Huerta,30,Masculino,Goiânia,GO,HB20,Hyundai,2019,41642.69,Amarelo,Sim,4,Não,PF,Meu Carro Novo
172,2019-09-17,Sean Alvarez,34,Feminino,Aparecida de Goiânia,GO,Ka,Ford,2019,40660.66,Branco,Sim,4,Sim,PJ,Viva Carros
173,2019-07-26,Lauren Aguirre,65,Feminino,Anápolis,GO,HB20,Hyundai,2016,31886.51,Cinza,Sim,4,Sim,PF,Brasil Carros
174,2024-05-29,Cody Anderson,35,Masculino,Passo Fundo,RS,Tracker,Chevrolet,2022,231236.09,Bege,Não,2,Não,PJ,Brasil Carros
175,2024-04-12,Karen Smith,34,Feminino,Vitória,ES,Ka,Ford,2021,84550.05,Azul,Sim,2,Não,PJ,AutoCenter
176,2019-10-13,Chelsea Mccoy,62,Feminino,Aparecida de Goiânia,GO,Gol,Volkswagen,2018,42313.63,Verde,Sim,2,Não,PF,AutoCenter
177,2019-08-18,Jeffrey Garner,29,Masculino,Betim,MG,Polo,Volkswagen,2018,50696.38,Verde,Não,2,Sim,PJ,Carros & Cia
